codigoProduto;descricaoProduto;unidadeProduto;NCMProduto
5;CAFTA DA CASA KG;KG;02012090  
19;COSTELA BOVINA KG;KG;02071200  
15;FRALDINHA KG;KG;02071200  
7;FILE MIGNON KG;KG;02012090  
6;PICANHA KG;KG;02012090  
2;FILE DE FRANGO KG;KG;02071400  
30;LINGUICA DE FRANGO KG;KG;16010000  
1;BIFE ROLE KG;KG;02012090  
9;CONTRA FILE KG;KG;02013000  
20;CARNE MOIDA KG;KG;02012090  
33;LOMBO SUINO KG.;KG;02032900  
14;MUSCULO KG;KG;02012090  
27;LING.CALABRESA FRESCA KG;KG;16010000  
3;LINGUICA REZENDE KG;KG;16010000  
42;COXA/SOBRECOXA KG;KG;02071400  
12;PATINHO KG;KG;02013000  
28;LINGUICA DA CASA KG;KG;16010000  
26;LINGUICA MISTA DA CASA KG;KG;16010000  
50;PRESUNTO SADIA SEM CAPA KG;KG;16024900  
17;CARNE BOVINA TEMPERADA KG;KG;02012090  
29;LINGUICA APIMENTADA KG;KG;16010000  
10;COXAO MOLE KG;KG;02013000  
57;MORTADELA MARBA KG;KG;16010000  
22;PONTA DE AGULHA BOVINA KG;KG;02012090  
37;PE SUINO KG;KG;02064900  
39;BISTECA SUINA KG;KG;02031100  
70;SALSICHA SADIA KG;KG;16010000  
44;PEITO DE FRANGO SEM OSSO KG;KG;02071400  
66;CEREJA A GRANEL;KG;20086010  
23;LINGUICA CAMBUI KG;KG;16010000  
96;MASSA PARA PIZZA SUPER.WAN KG;KG;19023000  
25;LINGUICA AURORA KG;KG;16010000  
69;SALSICHA A GRANEL KG;KG;16010000  
46;CORACAO DE FRANGO KG;KG;02071400  
120;MACA GALA A GRANEL KG.;KG;08081000  
52;QUEIJO PRATO PRESIDENT KG;KG;04069020  
75;AZEITONA VERDE COM CAROCO KG.;KG;20057000  
24;LINGUICA SADIA KG;KG;16010000  
124;MACA VERDE KG;KG;08081000  
55;SALAME AURORA KG;KG;16010000  
78;ROSCA SUPER.WAN KG.;KG;19059090  
47;MOELA DE FRANGO KG;KG;02071400  
126;ALHO A GRANEL KG;KG;07094000  
65;UVA PASSA BRANCA A GRANEL;KG;08062000  
93;MINI PAO FRANCES KG;KG;19059090  
31;PERNIL COM OSSO KG;KG;02032200  
129;BERINJELA KG;KG;07089000  
56;SALAME SADIA ITALIANO KG;KG;16010000  
197;PE DE FRANGO KG.;KG;02071400  
48;FRANGO A PASSARINHO KG;KG;02071400  
133;PEPINO KG;KG;07070000  
68;GOIABADA KG;KG;20079990  
205;BIFE A MILANESA KG;KG;02012090  
34;COSTELINHA SUINA KG;KG;02032200  
148;QUEIJO PROVOLONE DEF.SAL.KG;KG;04069020  
71;SALSICHA PERDIGAO KG;KG;16010000  
207;QUIABO KG.;KG;07096000  
95;SONHO KG;KG;19059090  
153;QUEIJO GORGONZOLA KG;KG;04064000  
80;BOLO DE FUBA KG;KG;19012000  
228;PRESUNTO DALIA KG;KG;16024900  
51;QUEIJO MUSSARELA A GRANEL KG;KG;04061010  
176;QUEIJO NOZINHO KG.;KG;04061010  
86;PAO FRANCES KG;KG;19059090  
235;PEITO DE PERU REZENDE KG;KG;16010000  
97;MOUSSE SABORES;KG;19059090  
209;PEPINO JAPONES KG;KG;07070000  
84;BRIGADEIRAO KG;KG;19059090  
284;BOLACHAS CASEIRA AMENDOIM;KG;19059020  
62;OREGANO A GRANEL;KG;12119010  
252;PAO DE BAT/CEN/CEB  KG;KG;19059010  
89;PUDIM DE LEITE CONDENSADO;KG;21069029  
307;TRANCA DE NATA KG.;KG;19059090  
109;BOLO DE QUEIJADINHA KG;KG;19012000  
272;SALSICHA SEARA KG.;KG;16010000  
90;PUDIM DE PADARIA/PAO KG;KG;21069029  
318;MORTADELA SADIA DEFUMADA KG;KG;16010000  
64;UVA PASSA PRETA A GRANEL;KG;08062000  
290;COSTELA BOVINA TEMPERADA KG;KG;02071200  
161;BOLO CHOCOLATE BRANCO KG;KG;19059090  
319;AVE TEMP. BRISCKER REZENDE;KG;02071400  
118;LARANJA LIMA KG;KG;08051000  
305;APRESUNTADO PEPERI AURORA KG;KG;16024900  
100;PIZZA PRONTA  KG;KG;19022000  
4720;MORTADELA PERDIGAO BOLOGNELLA KG;KG;16010000  
74;AZEITONA VERDE GORDAL KG.;KG;20057000  
344;BOLO EMBRULHADO;KG;19012000  
181;COSTELINHA ASSADA KG;KG;02031100  
6304;SUSPIRO;KG;19059090  
125;UVA ITALIA/ VERDE KG.;KG;08061000  
4730;BOLO SIMPLES COM COBERTURA KG;KG;19059090  
105;PAO DE CEBOLA KG;KG;19059010  
6679;TORTA SALGADA KG;KG;19059090  
87;BISCOITO DE POLVILHO DOCE KG;KG;19059090  
7331;AMEIXA PRETA COM CAROCO KG;KG;08132000  
204;JILO KG.;KG;07089000  
7332;PAO DE HAMBURGUER KG;KG;19059010  
130;CENOURA  A GRANEL KG;KG;07061000  
7338;UVA RUBI KG;KG;08061000  
111;PAO DE QUEIJO ASSADO KG;KG;19011030  
33443;BANANA PRATA KG;KG;08039000  
88;DOCE BOMBA KG;KG;19059090  
11791;MEDALHAO DE LOMBO KG;KG;02031100  
285;LINGUICA CALABRESA SADIA KG.;KG;16010000  
37102;PRESUNTO REZENDE KG;KG;16024900  
131;CHUCHU KG;KG;07089000  
33512;BATATA A GRANEL KG;KG;07089000  
117;LINGUICA PERDIGAO NA BRASA KG;KG;16010000  
39946;PRESUNTO AURORA KG;KG;16024900  
104;TORRADA DE PAO SUPER WAN KG.;KG;19054000  
33531;LIMAO TAITI KG;KG;08055000  
295;RAC.SABOR & VIDA RAC.PEQ.AD.PERU E MANGA KG.;KG;23099010  
42331;QUEIJO MEIA CURA;KG;04061090  
132;MANDIOQUINHA KG;KG;07149000  
34023;BOLO DE COCO KG;KG;19012000  
121;MARACUJA  KG;KG;08109015  
43876;QUEIJO MUSSARELA ITALAC KG.;KG;04061010  
134;PIMENTAO VERDE KG;KG;07089000  
34588;ACEM BOVINO KG;KG;02013000  
298;BOLO CHOCOLATE BROWNIE KG.;KG;19019090  
43895;RACAO CAT MIX DOMUS KG.;KG;23099010  
199;PAO DE ALHO DA CASA;KG;19052000  
35882;SALGADO ASSADO KG.;KG;19059090  
149;MORTADELA DEFUMADA MARBA KG;KG;16010000  
44115;BACON  PEDACO KG;KG;02101200  
136;TOMATE A GRANEL KG;KG;07020000  
35898;PRESUNTO SEARA KG;KG;16024900  
301;PRESUNTO A GRANEL KG;KG;16024900  
44275;PAINCO KG;KG;10082990  
242;COXA E SOBRECOXA ASSADA KG;KG;02071400  
37910;SALAME NOBRE KG.;KG;16010000  
243;MORTADELA SEARA KG.;KG;16010000  
44276;ALPISTE CANADENSE KG;KG;10083090  
163;RACAO PEDIGREE NUTRICAO ESSENCIAL KG.;KG;23099010  
40293;MORTADELA DEFUMADA PERDIGAO KG;KG;16010000  
302;RICOTA DEFUMADA TANIA KG;KG;04061090  
44330;RACAO TOP CAT PEIXE KG.;KG;23099010  
255;QUEIJO MINAS PADRAO TEMPERADO KG.;KG;04069020  
42800;LINGUA KG;KG;02062100  
271;QUEIJO PRATO AURORA KG;KG;04069020  
44353;DAMASCO A GRANEL;KG;08131000  
201;QUEIJO COALHO PALITO P/ CHURR.KG.;KG;04069020  
43930;TOUCINHO KG;KG;02031100  
346;BROA DE FUBA KG;KG;19012000  
44573;ABOBRINHA KG;KG;07089000  
337;PEIXE SALMAO KARAMS KG;KG;03041900  
43931;FIGADO DE FRANGO KG;KG;02071400  
279;SOBRECOXA KG;KG;02071400  
45216;QUEIJO PRATINHO CRIOULO KG;KG;04069020  
212;SALSICHA AMARRADA TAMOYO KG;KG;16021000  
43947;PASTEL ASSADO KG.;KG;19059090  
348;QUEIJO MUSSARELA BANDEIRA PALITO KG.;KG;04061010  
45313;PALETA BOVINA KG;KG;02013000  
342;BIFE TEMPERADO KG;KG;02012090  
44079;TIRINHA DE FRANGO EMPANADO KG.;KG;16023230  
309;MINI CHURROS FRITO DOCE DE LEITE/CHOCOLATE KG;KG;19022000  
45525;PONTA DE PEITO KG;KG;02013000  
225;PANCETA ASSADA KG;KG;02031100  
44143;FILE DE FRANGO EMPANADO KG;KG;16023220  
4715;DOBRADINHA KG;KG;02062990  
45570;COGUMELO FATIADO A GRANEL;KG;20031000  
4718;GOIABA KG;KG;08045010  
44228;PANCETA/TORRESMO KG;KG;02032900  
313;RACAO PARA CAES QUALIDY CHIPS AD.KG.;KG;23099010  
45857;MARIA MOLE KG;KG;19059090  
269;MELAO KG.;KG;08071900  
44450;LINGUICA CALABRESA SEARA KG;KG;16010000  
4719;LARANJA PERA KG;KG;08051000  
46146;AZEITONA VERDE SEM CAROCO KG;KG;20057000  
4721;PERA A GRANEL KG.;KG;08083000  
44970;FRUTAS CRISTALIZADAS KG;KG;20060000  
321;APRESUNTADO A GRANEL KG;KG;16024900  
46676;MUSSARELA PRESIDENT KG;KG;04061010  
286;PATE DA CASA KG.;KG;16025000  
45104;SUAN KG;KG;02031100  
4724;BETERRABA KG;KG;07069000  
47386;MORTADELA AURORA KG.;KG;16010000  
5728;PAO ITALIANO KG;KG;19012000  
45238;MINI PAO CASEIRO/CERVEJA KG;KG;19052090  
336;RACAO CHAMP CARNE E CEREAL  KG.;KG;23099010  
48503;RABADA KG;KG;02062910  
299;BRIOCHE KG.;KG;19059090  
45531;COXAO MOLE KG*;KG;02012090  
5729;BOLO DE LARANJA KG;KG;19012000  
48615;MANGA KG.;KG;08045020  
5731;MEXERICA  KG;KG;08061000  
45811;MILHO A GRANEL KG;KG;10059010  
345;MORTADELA SEARA DEFUMADA KG;KG;16010000  
49373;VAGEM KG;KG;07089000  
