NCM;DESCRICAO
01;Animais vivos.
01.01;Cavalos, asininos e muares, vivos.
0101.2;- Cavalos:
0101.21.00;-- Reprodutores de ra a pura
0101.29.00;-- Outros
0101.30.00;- Asininos
0101.90.00;- Outros
01.02;Animais vivos da esp cie bovina.
0102.2;- Bovinos dom sticos:
0102.21;-- Reprodutores de ra a pura
0102.21.10;Prenhes ou com cria ao p 
0102.21.90;Outros
0102.29;-- Outros
0102.29.1;Para reprodu  o
0102.29.11;Prenhes ou com cria ao p 
0102.29.19;Outros
0102.29.90;Outros
0102.3;- B falos:
0102.31;-- Reprodutores de ra a pura
0102.31.10;Prenhes ou com cria ao p 
0102.31.90;Outros
0102.39;-- Outros
0102.39.1;Para reprodu  o
0102.39.11;Prenhes ou com cria ao p 
0102.39.19;Outros
0102.39.90;Outros
0102.90.00;- Outros
01.03;Animais vivos da esp cie su na.
0103.10.00;- Reprodutores de ra a pura
0103.9;- Outros:
0103.91.00;-- De peso inferior a 50 kg
0103.92.00;-- De peso igual ou superior a 50 kg
01.04;Animais vivos das esp cies ovina e caprina.
0104.10;- Ovinos
0104.10.1;Reprodutores de ra a pura
0104.10.11;Prenhes ou com cria ao p 
0104.10.19;Outros
0104.10.90;Outros
0104.20;- Caprinos
0104.20.10;Reprodutores de ra a pura
0104.20.90;Outros
01.05;Aves da esp cie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das esp cies dom sticas, vivos.
0105.1;- De peso n o superior a 185 g:
0105.11;-- Aves da esp cie Gallus domesticus
0105.11.10;De linhas puras ou h bridas, para reprodu  o
0105.11.90;Outros
0105.12.00;-- Peruas e perus
0105.13.00;-- Patos
0105.14.00;-- Gansos
0105.15.00;-- Galinhas-d'angola (pintadas)
0105.9;- Outros:
0105.94.00;-- Aves da esp cie Gallus domesticus
0105.99.00;-- Outros
01.06;Outros animais vivos.
0106.1;- Mam feros:
0106.11.00;-- Primatas
0106.12.00;"-- Baleias, golfinhos e botos (mam feros da ordem Cetacea); peixes-boi (manatins) e dugongos (mam feros da ordem Sirenia); ot rias e focas, le es-marinhos e morsas (mam feros da subordem Pinnipedia)"
0106.13.00;-- Camelos e outros camel deos (Camelidae)
0106.14.00;-- Coelhos e lebres
0106.19.00;-- Outros
0106.20.00;- R pteis (incluindo as serpentes e as tartarugas marinhas)
0106.3;- Aves:
0106.31.00;-- Aves de rapina
0106.32.00;-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)
0106.33;"-- Avestruzes; emus (Dromaius novaehollandiae)"
0106.33.10;Avestruzes (Struthio camelus), para reprodu  o
0106.33.90;Outros
0106.39.00;-- Outras
0106.4;- Insetos:
0106.41.00;-- Abelhas
0106.49.00;-- Outros
0106.90.00;- Outros
02;Carnes e miudezas, comest veis.
02.01;Carnes de animais da esp cie bovina, frescas ou refrigeradas.
0201.10.00;- Carca as e meias-carca as
0201.20;- Outras pe as n o desossadas
0201.20.10;Quartos dianteiros
0201.20.20;Quartos traseiros
0201.20.90;Outras
0201.30.00;- Desossadas
02.02;Carnes de animais da esp cie bovina, congeladas.
0202.10.00;- Carca as e meias-carca as
0202.20;- Outras pe as n o desossadas
0202.20.10;Quartos dianteiros
0202.20.20;Quartos traseiros
0202.20.90;Outras
0202.30.00;- Desossadas
02.03;Carnes de animais da esp cie su na, frescas, refrigeradas ou congeladas.
0203.1;- Frescas ou refrigeradas:
0203.11.00;-- Carca as e meias-carca as
0203.12.00;-- Pernas, p s e respectivos peda os, n o desossados
0203.19.00;-- Outras
0203.2;- Congeladas:
0203.21.00;-- Carca as e meias-carca as
0203.22.00;-- Pernas, p s e respectivos peda os, n o desossados
0203.29.00;-- Outras
02.04;Carnes de animais das esp cies ovina ou caprina, frescas, refrigeradas ou congeladas.
0204.10.00;- Carca as e meias-carca as de cordeiro, frescas ou refrigeradas
0204.2;- Outras carnes de animais da esp cie ovina, frescas ou refrigeradas:
0204.21.00;-- Carca as e meias-carca as
0204.22.00;-- Outras pe as n o desossadas
0204.23.00;-- Desossadas
0204.30.00;- Carca as e meias-carca as de cordeiro, congeladas
0204.4;- Outras carnes de animais da esp cie ovina, congeladas:
0204.41.00;-- Carca as e meias-carca as
0204.42.00;-- Outras pe as n o desossadas
0204.43.00;-- Desossadas
0204.50.00;- Carnes de animais da esp cie caprina
0205.00.00;Carnes de animais das esp cies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.
02.06;Miudezas comest veis de animais das esp cies bovina, su na, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.
0206.10.00;- Da esp cie bovina, frescas ou refrigeradas
0206.2;- Da esp cie bovina, congeladas:
0206.21.00;-- L nguas
0206.22.00;-- F gados
0206.29;-- Outras
0206.29.10;Rabos
0206.29.90;Outros
0206.30.00;- Da esp cie su na, frescas ou refrigeradas
0206.4;- Da esp cie su na, congeladas:
0206.41.00;-- F gados
0206.49.00;-- Outras
0206.80.00;- Outras, frescas ou refrigeradas
0206.90.00;- Outras, congeladas
02.07;Carnes e miudezas, comest veis, frescas, refrigeradas ou congeladas, das aves da posi  o 01.05.
0207.1;- De aves da esp cie Gallus domesticus:
0207.11.00;-- N o cortadas em peda os, frescas ou refrigeradas
0207.12;-- N o cortadas em peda os, congeladas
0207.12.10;Com miudezas
0207.12.20;Sem miudezas
0207.13.00;-- Peda os e miudezas, frescos ou refrigerados
0207.14;-- Peda os e miudezas, congelados
0207.14.1;Peda os n o desossados
0207.14.11;Peitos
0207.14.12;Coxas com sobrecoxas
0207.14.13;Asas
0207.14.19;Outros
0207.14.2;Peda os desossados
0207.14.21;Peitos, coxas e sobrecoxas, formando uma s  pe a
0207.14.22;Peitos
0207.14.23;Coxas com sobrecoxas
0207.14.24;Carne mecanicamente separada
0207.14.29;Outros
0207.14.3;Miudezas
0207.14.31;F gados
0207.14.32;Moelas
0207.14.33;Cora  es
0207.14.34;P s e patas
0207.14.39;Outras
0207.2;- De peruas e de perus:
0207.24.00;-- N o cortadas em peda os, frescas ou refrigeradas
0207.25.00;-- N o cortadas em peda os, congeladas
0207.26.00;-- Peda os e miudezas, frescos ou refrigerados
0207.27.00;-- Peda os e miudezas, congelados
0207.4;- De patos:
0207.41.00;-- N o cortadas em peda os, frescas ou refrigeradas
0207.42.00;-- N o cortadas em peda os, congeladas
0207.43.00;-- F gados gordos (foies gras), frescos ou refrigerados
0207.44.00;-- Outras, frescas ou refrigeradas
0207.45.00;-- Outras, congeladas
0207.5;- De gansos:
0207.51.00;-- N o cortadas em peda os, frescas ou refrigeradas
0207.52.00;-- N o cortadas em peda os, congeladas
0207.53.00;-- F gados gordos (foies gras), frescos ou refrigerados
0207.54.00;-- Outras, frescas ou refrigeradas
0207.55.00;-- Outras, congeladas
0207.60.00;- De galinhas-d'angola (pintadas)
02.08;Outras carnes e miudezas comest veis, frescas, refrigeradas ou congeladas.
0208.10.00;- De coelhos ou lebres
0208.30.00;- De primatas
0208.40.00;"- De baleias, golfinhos e botos (mam feros da ordem Cetacea); de peixes-boi (manatins) e dugongos (mam feros da ordem Sirenia); de ot rias e focas, le es-marinhos e morsas (mam feros da subordem Pinnipedia)"
0208.50.00;- De r pteis (incluindo as serpentes e as tartarugas marinhas)
0208.60.00;- De camelos e outros camel deos (Camelidae)
0208.90.00;- Outras
02.09;Toucinho sem partes magras, gorduras de porco e de aves, n o fundidas nem extra das de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados).
0209.10;- De porco
0209.10.1;Toucinho
0209.10.11;Fresco, refrigerado ou congelado
0209.10.19;Outros
0209.10.2;Gordura
0209.10.21;Fresca, refrigerada ou congelada
0209.10.29;Outras
0209.90.00;- Outros
02.10;"Carnes e miudezas, comest veis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e p s, comest veis, de carnes ou de miudezas."
0210.1;- Carnes da esp cie su na:
0210.11.00;-- Pernas, p s e respectivos peda os, n o desossados
0210.12.00;-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus peda os
0210.19.00;-- Outras
0210.20.00;- Carnes da esp cie bovina
0210.9;- Outras, incluindo as farinhas e p s, comest veis, de carnes ou de miudezas:
0210.91.00;-- De primatas
0210.92.00;"-- De baleias, golfinhos e botos (mam feros da ordem Cetacea); de peixes-boi (manatins) e dugongos (mam feros da ordem Sirenia); de ot rias e focas, le es-marinhos e morsas (mam feros da subordem Pinnipedia)"
0210.93.00;-- De r pteis (incluindo as serpentes e as tartarugas marinhas)
0210.99;-- Outras
0210.99.1;Carnes de aves da posi  o 01.05
0210.99.11;De galos e de galinhas
0210.99.19;Outras
0210.99.20;Carnes da esp cie ovina
0210.99.30;Carnes da esp cie cavalar
0210.99.40;Miudezas comest veis
0210.99.90;Outras
03;Peixes e crust ceos, moluscos e outros invertebrados aqu ticos.
03.01;Peixes vivos.
0301.1;- Peixes ornamentais:
0301.11;-- De  gua doce
0301.11.10;Aruan  (Osteoglossum bicirrhosum)
0301.11.90;Outros
0301.19.00;-- Outros
0301.9;- Outros peixes vivos:
0301.91;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)
0301.91.10;Para reprodu  o
0301.91.90;Outras
0301.92;-- Enguias (Anguilla spp.)
0301.92.10;Para reprodu  o
0301.92.90;Outras
0301.93;-- Carpas (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)
0301.93.10;Para reprodu  o
0301.93.90;Outras
0301.94;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)
0301.94.10;Para reprodu  o
0301.94.90;Outras
0301.95;-- Atum-azul do sul (atum) (Thunnus maccoyii)
0301.95.10;Para reprodu  o
0301.95.90;Outros
0301.99;-- Outros
0301.99.1;Para reprodu  o
0301.99.11;"Til pias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus h bridos)"
0301.99.12;Esturj es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)
0301.99.19;Outros
0301.99.9;Outros
0301.99.91;"Til pias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus h bridos)"
0301.99.92;Esturj es (Acipenser baerii, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus)
0301.99.99;Outros
03.02;Peixes frescos ou refrigerados, exceto os fil s (filetes) de peixes e outra carne de peixes da posi  o 03.04.
0302.1;- Salmon deos, exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.11.00;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster)
0302.13.00;-- Salm es-do-pac fico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus)
0302.14.00;-- Salm o-do-atl ntico (Salmo salar) e salm o-do-dan bio (Hucho hucho)
0302.19.00;-- Outros
0302.2;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.21.00;-- Linguados-gigantes (Alabotes*) (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)
0302.22.00;-- Solha (Pleuronectes platessa)
0302.23.00;-- Linguados (Solea spp.)
0302.24.00;-- Pregado (Psetta maxima)
0302.29.00;-- Outros
0302.3;- Atuns (do g nero Thunnus), bonito-listrado (gaiado*) (Katsuwonus pelamis), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.31.00;-- Albacora-branca (atum) (Thunnus alalunga)
0302.32.00;-- Albacora-laje (atum) (Thunnus albacares)
0302.33.00;-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
0302.34.00;-- Albacora-bandolim (atum) (Thunnus obesus)
0302.35.00;-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orientalis)
0302.36.00;-- Atum-azul do sul (atum) (Thunnus maccoyii)
0302.39.00;-- Outros
0302.4;- Arenques (Clupea harengus, Clupea pallasii), anchovas (biqueir es*) (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.) (sardinha (Sardina pilchardus) e sardinelas (Sardinops spp., Sardinella spp.)*), anchoveta (espadilha*) (Sprattus sprattus), cavalinhas (sardas e cavalas*) (Scomber scombrus, Scomber australasicus, Scomber japonicus), cavalas-do- ndico (Rastrelliger spp.), serras (Scomberomorus spp.), carapaus (Trachurus spp.), xar us (Caranx spp.), bijupir  (cobia*) (Rachycentron canadum), pampos-prateado (Pampus spp.), agulh o-do-jap o (Cololabis saira), charros (Decapterus spp.), capelim (Mallotus villosus), espadarte (Xiphias gladius), merma-oriental (Euthynnus affinis), bonitos (Sarda spp.), espadins, marlins, veleiros (Istiophoridae), exceto subprodutos comest veis de peixes das subposi  es 0302.91 a 0302.99:
0302.41.00;-- Arenques (Clupea harengus, Clupea pallasii)
0302.42;-- Anchovas (Biqueir es*) (Engraulis spp.)
0302.42.10;Anchoita (Engraulis anchoita)
0302.42.90;Outros
