NCM;EX;DESCRIÄ«O;AL÷QUOTA;
01.01;;Cavalos, asininos e muares, vivos.;;
0101.2;;- Cavalos:;;
0101.21.00;;-- Reprodutores de raáa pura ;NT;
0101.29.00;;-- Outros ;NT;
0101.30.00;;- Asininos ;NT;
0101.90.00;;- Outros ;NT;
01.02;;Animais vivos da espÇcie bovina.;;
0102.2;;- Bovinos domÇsticos:;;
0102.21;;-- Reprodutores de raáa pura;;
0102.21.10;;Prenhes ou com cria ao pÇ ;NT;
0102.21.90;;Outros ;NT;
0102.29;;-- Outros;;
0102.29.1;;Para reproduá∆o;;
0102.29.11;;Prenhes ou com cria ao pÇ ;NT;
0102.29.19;;Outros ;NT;
0102.29.90;;Outros ;NT;
0102.3;;- B£falos:;;
0102.31;;-- Reprodutores de raáa pura;;
0102.31.10;;Prenhes ou com cria ao pÇ ;NT;
0102.31.90;;Outros ;NT;
0102.39;;-- Outros;;
0102.39.1;;Para reproduá∆o;;
0102.39.11;;Prenhes ou com cria ao pÇ ;NT;
0102.39.19;;Outros ;NT;
0102.39.90;;Outros ;NT;
0102.90.00;;- Outros ;NT;
01.03;;Animais vivos da espÇcie su°na.;;
0103.10.00;;- Reprodutores de raáa pura ;NT;
103.9;;- Outros:;;
0103.91.00;;-- De peso inferior a 50 kg ;NT;
0103.92.00;;-- De peso igual ou superior a 50 kg ;NT;
01.04;;Animais vivos das espÇcies ovina e caprina.;;
0104.1;;- Ovinos;;
0104.10.1;;Reprodutores de raáa pura;;
0104.10.11;;Prenhes ou com cria ao pÇ ;NT;
0104.10.19;;Outros ;NT;
0104.10.90;;Outros ;NT;
0104.2;;- Caprinos;;
0104.20.10;;Reprodutores de raáa pura ;NT;
0104.20.90;;Outros ;NT;
01.05;;Aves da espÇcie Gallus domesticus, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espÇcies domÇsticas, vivos.;;
0105.1;;- De peso n∆o superior a 185 g:;;
0105.11;;-- Aves da espÇcie Gallus domesticus;;
0105.11.10;;De linhas puras ou h°bridas, para reproduá∆o ;NT;
0105.11.90;;Outros ;NT;
0105.12.00;;-- Peruas e perus ;NT;
0105.13.00;;-- Patos ;NT;
0105.14.00;;-- Gansos ;NT;
0105.15.00;;-- Galinhas-d'angola (pintadas) ;NT;
0105.9;;- Outros:;;
0105.94.00;;-- Aves da espÇcie Gallus domesticus ;NT;
0105.99.00;;-- Outros ;NT;
01.06;;Outros animais vivos.;;
0106.1;;- Mam°feros:;;
0106.11.00;;-- Primatas ;NT;
0106.12.00;;"-- Baleias, golfinhos e botos (mam°feros da ordem Cetacea); peixes-boi (manatins) e dugongos
(mam°feros da ordem Sirenia); ot†rias e focas, le‰es-marinhos e morsas (mam°feros da
subordem Pinnipedia) ";NT;
0106.13.00;;-- Camelos e outros camel°deos (Camelidae) ;NT;
0106.14.00;;-- Coelhos e lebres ;NT;
0106.19.00;;-- Outros ;NT;
0106.20.00;;- RÇpteis (incluindo as serpentes e as tartarugas marinhas) ;NT;
0106.3;;- Aves:;;
0106.31.00;;-- Aves de rapina ;NT;
0106.32.00;;-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas) ;NT;
0106.33;;"-- Avestruzes; emus (Dromaius novaehollandiae)";;
0106.33.10;;Avestruzes (Struthio camelus), para reproduá∆o ;NT;
0106.33.90;;Outros ;NT;
0106.39.00;;-- Outras ;NT;
0106.4;;- Insetos:;;
0106.41.00;;-- Abelhas ;NT;
